DateTime,Product,Quantity,Unit_Price,Revenue
2024-06-15 11:35,Baguette,10.0,2.94,29.4
2024-10-13 10:58,Cheesecake Slice,9.0,4.98,44.82
2024-03-02 15:05,Almond Danish,10.0,3.42,34.2
2024-01-20 07:01,Sourdough Bread,13.0,5.4,70.2
2024-07-26 13:08,Sourdough Bread,11.0,5.42,59.62
2024-05-11 10:26,Carrot Cake Slice,13.0,4.42,57.46
2024-08-19 13:02,Chocolate Muffin,10.0,2.59,25.9
2024-11-10 09:50,Sourdough Bread,12.0,5.33,63.96
2024-10-20 08:48,Carrot Cake Slice,9.0,4.59,41.31
2024-09-29 12:32,Cinnamon Roll,8.0,3.27,26.16
2024-05-06 09:34,Sourdough Bread,16.0,5.36,85.76
2024-12-13 10:56,Almond Danish,12.0,3.41,40.92
2024-05-27 13:43,Croissant,12.0,2.86,34.32
2024-08-11 08:50,Carrot Cake Slice,-1.0,4.58,-4.58
2024-08-04 07:07,Cinnamon Roll,10.0,3.31,33.1
2024-07-08 09:39,Blueberry Muffin,12.0,2.41,28.92
2024-04-18 09:15,Baguette,10.0,2.95,29.5
2024-12-02 12:21,Almond Danish,8.0,3.34,26.72
2024-11-17 12:26,Cheesecake Slice,11.0,5.2,57.2
2024-11-16 14:27,Almond Danish,8.0,3.34,26.72
2024-07-21 10:38,Sourdough Bread,13.0,5.35,69.55
2024-10-18 10:28,Chocolate Muffin,10.0,2.47,24.7
2024-05-28 09:54,Croissant,8.0,2.71,21.68
2024-11-25 14:22,Croissant,10.0,2.9,29.0
2024-04-16 13:24,Cinnamon Roll,12.0,3.04,36.48
2024-03-16 07:24,Blueberry Muffin,7.0,2.44,17.08
2024-03-30 09:57,Croissant,9.0,2.76,24.84
2024-01-05 16:04,Carrot Cake Slice,16.0,4.53,72.48
2024-04-28 09:40,Sourdough Bread,13.0,5.47,71.11
2024-09-07 11:29,Sourdough Bread,16.0,5.4,86.4
2024-05-26 09:07,Cinnamon Roll,11.0,3.21,35.31
2024-10-05 09:37,Sourdough Bread,5.0,5.52,27.6
2024-03-25 13:29,Cinnamon Roll,10.0,3.24,32.4
2024-08-02 10:51,Croissant,10.0,2.79,27.9
2024-09-14 10:09,Croissant,7.0,2.87,20.09
2024-08-23 09:30,Blueberry Muffin,-1.0,2.38,-2.38
2024-04-28 09:40,Brownie,10.0,2.27,22.7
2024-11-30 12:07,Cinnamon Roll,11.0,3.35,36.85
2024-11-28 11:31,Blueberry Muffin,11.0,2.46,27.06
2024-05-12 08:13,Croissant,12.0,2.72,32.64
2024-10-15 08:57,Croissant,12.0,2.91,34.92
2024-12-08 15:06,Cheesecake Slice,13.0,4.75,61.75
2024-05-04 10:38,Blueberry Muffin,11.0,2.54,27.94
2024-03-08 10:44,Brownie,10.0,2.28,22.8
2024-07-28 09:30,Sourdough Bread,10.0,5.41,54.1
2024-09-15 09:07,Almond Danish,10.0,3.61,36.1
2024-10-27 10:44,Baguette,10.0,2.88,28.8
2024-08-18 10:22,Sourdough Bread,10.0,5.63,56.3
2024-01-24 11:23,Carrot Cake Slice,10.0,4.67,46.7
2024-02-17 10:10,Sourdough Bread,7.0,5.49,38.43
2024-03-30 12:49,Brownie,6.0,2.22,13.32
2024-05-12 07:29,Cinnamon Roll,8.0,3.12,24.96
2024-10-08 11:30,Croissant,11.0,2.82,31.02
2024-09-25 14:37,Carrot Cake Slice,15.0,4.49,67.35
2024-09-07 10:55,Cinnamon Roll,13.0,3.29,42.77
2024-12-01 09:32,Baguette,11.0,2.87,31.57
2024-04-20 12:59,Focaccia,17.0,4.14,70.38
2024-04-05 10:29,Brownie,12.0,2.23,26.76
2024-01-21 09:24,Carrot Cake Slice,19.0,4.59,87.21
2024-03-30 07:11,Brownie,8.0,2.29,18.32
2024-06-30 12:15,Blueberry Muffin,12.0,,30.0
2024-08-20 11:49,Almond Danish,18.0,3.65,65.7
2024-01-06 08:02,Chocolate Muffin,8.0,2.55,20.4
2024-11-06 10:37,Almond Danish,12.0,3.39,40.68
2024-01-25 12:32,Baguette,10.0,2.92,29.2
2024-10-20 12:47,Sourdough Bread,10.0,5.56,55.6
2024-06-03 08:06,Brownie,16.0,2.28,36.48
2024-10-16 11:35,Focaccia,11.0,4.24,46.64
2024-07-01 11:52,Chocolate Muffin,6.0,2.56,15.36
2024-04-20 09:37,Blueberry Muffin,11.0,2.57,28.27
2024-12-03 12:04,Chocolate Muffin,9.0,2.54,22.86
2024-07-07 09:55,Almond Danish,13.0,3.39,44.07
2024-06-13 10:16,Baguette,11.0,3.02,33.22
2024-06-05 09:29,Cinnamon Roll,9.0,3.18,28.62
2024-01-28 09:22,Blueberry Muffin,9.0,2.52,22.68
2024-06-12 08:02,Almond Danish,12.0,3.67,44.04
2024-03-28 09:35,Blueberry Muffin,11.0,2.39,26.29
2024-09-02 10:15,Blueberry Muffin,13.0,2.53,32.89
2024-02-09 08:29,Almond Danish,6.0,3.44,20.64
2024-07-23 10:03,Chocolate Muffin,12.0,2.42,29.04
2024-09-28 07:36,Cheesecake Slice,7.0,5.14,35.98
2024-05-03 08:36,Chocolate Muffin,10.0,2.38,23.8
2024-08-03 11:24,Chocolate Muffin,9.0,2.55,22.95
2024-03-18 10:52,Cinnamon Roll,14.0,3.15,44.1
2024-02-18 11:55,Cinnamon Roll,8.0,3.34,26.72
2024-03-21 13:38,Chocolate Muffin,13.0,2.5,32.5
2024-08-25 10:00,Brownie,11.0,2.16,23.76
2024-04-20 08:40,Cheesecake Slice,11.0,4.77,52.47
2024-04-07 11:06,Chocolate Muffin,10.0,2.44,24.4
2024-03-09 12:27,Blueberry Muffin,11.0,2.54,27.94
2024-03-14 08:55,Chocolate Muffin,10.0,2.42,24.2
2024-07-25 13:33,Cinnamon Roll,7.0,3.07,21.49
2024-09-11 11:19,Croissant,9.0,2.91,26.19
2024-06-22 15:31,Brownie,7.0,2.25,15.75
2024-06-11 09:34,Croissant,15.0,2.85,42.75
2024-01-18 12:07,Chocolate Muffin,11.0,2.44,26.84
2024-12-21 12:29,Cinnamon Roll,7.0,3.25,22.75
2024-03-04 12:11,Sourdough Bread,15.0,5.71,85.65
2024-10-06 08:57,Almond Danish,9.0,3.6,32.4
2024-02-08 13:02,Blueberry Muffin,12.0,2.59,31.08
2024-12-02 10:27,Brownie,10.0,2.18,21.8
2024-08-14 10:32,Croissant,15.0,2.76,41.4
2024-01-09 13:11,Croissant,12.0,2.68,32.16
2024-04-27 12:52,Almond Danish,8.0,3.59,28.72
2024-07-27 12:06,Cinnamon Roll,8.0,3.16,25.28
2024-05-11 11:27,Croissant,6.0,2.85,17.1
2024-03-23 13:05,Chocolate Muffin,12.0,2.51,30.12
2024-11-01 10:26,Sourdough Bread,11.0,5.28,58.08
2024-06-20 11:30,Croissant,10.0,2.93,29.3
2024-05-23 12:21,Sourdough Bread,11.0,5.57,61.27
2024-05-16 12:21,Chocolate Muffin,6.0,2.62,15.72
2024-02-15 07:28,Almond Danish,19.0,3.34,63.46
2024-04-06 08:00,Almond Danish,13.0,3.67,47.71
2024-12-12 08:30,Croissant,13.0,2.78,36.14
2024-09-22 13:43,Cinnamon Roll,14.0,3.14,43.96
2024-09-22 13:27,Brownie,12.0,2.18,26.16
2024-10-26 14:14,Chocolate Muffin,12.0,2.46,29.52
2024-04-13 13:08,Baguette,10.0,3.12,31.2
2024-12-27 07:06,Blueberry Muffin,12.0,2.56,30.72
2024-05-08 10:02,Croissant,9.0,2.78,25.02
2024-08-18 08:12,Brownie,12.0,2.25,27.0
2024-03-21 09:46,Croissant,9.0,2.81,25.29
2024-10-07 09:17,Brownie,9.0,2.25,20.25
2024-04-05 08:54,Banana Bread,15.0,3.95,59.25
2024-07-01 11:05,Croissant,10.0,2.9,29.0
2024-10-03 09:33,Cinnamon Roll,16.0,3.15,50.4
2024-04-30 14:06,Blueberry Muffin,12.0,2.61,31.32
2024-03-15 08:21,Baguette,13.0,3.05,39.65
2024-07-10 08:29,Sourdough Bread,13.0,5.54,72.02
2024-12-05 14:59,Focaccia,13.0,4.34,56.42
2024-03-29 13:39,Blueberry Muffin,10.0,2.51,25.1
2024-07-03 10:13,Blueberry Muffin,11.0,2.58,28.38
2024-12-08 11:22,Sourdough Bread,7.0,5.57,38.99
2024-12-29 10:35,Carrot Cake Slice,-1.0,4.61,-4.61
2024-11-17 10:26,Blueberry Muffin,7.0,2.55,17.85
2024-09-30 10:13,Baguette,11.0,3.1,34.1
2024-08-24 11:47,Croissant,8.0,2.68,21.44
2024-10-19 09:40,Croissant,12.0,2.69,32.28
2024-11-17 12:01,Cheesecake Slice,11.0,4.93,54.23
2024-09-08 11:31,Brownie,13.0,2.09,27.17
2024-11-24 10:35,Croissant,11.0,2.94,32.34
2024-12-04 12:04,Brownie,9.0,2.26,20.34
2024-12-21 09:10,Carrot Cake Slice,11.0,4.34,47.74
2024-06-10 10:53,Cinnamon Roll,8.0,3.1,24.8
2024-04-25 11:17,Cinnamon Roll,9.0,3.07,27.63
2024-08-06 08:46,Carrot Cake Slice,11.0,4.34,47.74
2024-03-27 13:47,Brownie,14.0,2.15,30.1
2024-01-11 08:12,Chocolate Muffin,13.0,2.54,33.02
2024-12-28 11:58,Almond Danish,12.0,3.36,40.32
2024-05-15 14:14,Almond Danish,10.0,3.44,34.4
2024-03-03 10:12,Chocolate Muffin,11.0,2.43,26.73
2024-05-11 08:14,Cinnamon Roll,8.0,3.18,25.44
2024-01-27 10:20,Sourdough Bread,11.0,5.6,61.6
2024-08-06 11:03,Croissant,11.0,2.91,32.01
2024-09-07 10:53,Carrot Cake Slice,13.0,4.64,60.32
2024-12-20 07:21,Blueberry Muffin,9.0,2.59,23.31
2024-03-02 11:46,Cinnamon Roll,9.0,3.3,29.7
2024-09-01 08:48,Brownie,12.0,2.24,26.88
2024-09-04 08:20,Blueberry Muffin,11.0,2.59,28.49
2024-08-24 09:13,Sourdough Bread,14.0,5.4,75.6
2024-02-11 10:00,Baguette,10.0,2.9,29.0
2024-05-26 11:46,Carrot Cake Slice,9.0,4.68,42.12
2024-03-09 09:47,Sourdough Bread,13.0,5.68,73.84
2024-03-03 08:40,Sourdough Bread,6.0,5.69,34.14
2024-10-19 08:57,Cinnamon Roll,7.0,3.26,22.82
2024-06-29 11:23,Chocolate Muffin,14.0,2.55,35.7
2024-12-06 10:57,Baguette,6.0,3.06,18.36
2024-01-27 11:10,Almond Danish,6.0,3.51,21.06
2024-10-19 10:24,Sourdough Bread,9.0,5.64,50.76
2024-06-10 09:15,Chocolate Muffin,13.0,2.59,33.67
2024-09-14 14:58,Croissant,12.0,2.76,33.12
2024-01-01 12:39,Cheesecake Slice,7.0,5.05,35.35
2024-08-31 08:59,Focaccia,13.0,4.33,56.29
2024-04-14 13:37,Almond Danish,9.0,3.56,32.04
2024-03-28 09:11,Almond Danish,9.0,3.33,29.97
2024-09-06 10:59,Blueberry Muffin,13.0,2.54,33.02
2024-05-04 11:16,Banana Bread,10.0,4.04,40.4
2024-04-12 10:38,Chocolate Muffin,11.0,2.4,26.4
2024-09-24 08:27,Sourdough Bread,10.0,5.7,57.0
2024-04-28 13:35,Cinnamon Roll,12.0,3.15,37.8
2024-12-22 11:58,Brownie,10.0,2.24,22.4
2024-10-22 10:23,Baguette,14.0,3.09,43.26
2024-10-15 13:44,Blueberry Muffin,12.0,2.51,30.12
2024-10-25 09:58,Focaccia,13.0,4.09,53.17
2024-05-25 11:58,Carrot Cake Slice,15.0,4.69,70.35
2024-04-05 13:01,Croissant,10.0,2.89,28.9
2024-10-16 12:55,Baguette,14.0,2.87,40.18
2024-11-29 11:04,Sourdough Bread,8.0,5.64,45.12
2024-06-02 12:47,Almond Danish,10.0,3.55,35.5
2024-05-06 13:01,Focaccia,6.0,4.2,25.2
2024-06-28 08:39,Blueberry Muffin,10.0,2.48,24.8
2024-09-21 08:30,Chocolate Muffin,10.0,2.4,24.0
2024-03-23 10:13,Brownie,13.0,2.21,28.73
2024-11-27 08:58,Croissant,8.0,2.75,22.0
2024-03-01 14:38,Croissant,10.0,2.93,29.3
2024-07-18 13:56,Chocolate Muffin,12.0,2.42,29.04
2024-05-29 12:46,Baguette,9.0,3.04,27.36
2024-09-29 09:53,Cinnamon Roll,10.0,3.18,31.8
2024-04-07 15:10,Brownie,8.0,2.09,16.72
2024-11-27 13:51,Cinnamon Roll,14.0,3.17,44.38
2024-12-24 09:34,Chocolate Muffin,7.0,2.56,17.92
2024-09-19 11:31,Croissant,10.0,2.84,28.4
2024-05-11 14:01,Carrot Cake Slice,14.0,4.52,63.28
2024-12-28 12:59,Chocolate Muffin,6.0,2.42,14.52
2024-03-06 10:28,Brownie,10.0,2.2,22.0
2024-03-03 09:17,Carrot Cake Slice,12.0,4.3,51.6
2024-08-17 08:06,Almond Danish,11.0,3.56,39.16
2024-08-05 11:19,Focaccia,9.0,4.24,38.16
2024-08-02 09:59,Almond Danish,14.0,3.34,46.76
